product_name,product_description,count_of_ratings,product_price,regular_price,product_url,effect,ingredients,rating,capacity,regular_unit_price_100ml,promotion_unit_price_100ml,brand,discount,lemmatized_ingredients
Avène Cicalfate+,"regenerujący krem ochronny, 40 ml",6,49.99,49.99,/avene-regenerujacy-krem-ochronny-40-ml-000000000000371749.html,regenerujący,"Avene Thermal Spring Water (Avene Aqua), Caprylic/Capric Triglyceride, Mineral Oil (Paraffinum Liquidum), Glycerin, Hydrogenated Vegetable Oil, Zinc Oxide, Propylene Glycol, Polyglyceryl-2 Sesquiisostearate, Peg-22/Dodecyl Glycol Copolymer, Aluminum Stearate, Aquaphilus Dolomiae Ferment Filtrate, Arginine, Beeswax (Cera Alba), Copper Sulfate, Magnesium Stearate, Magnesium Sulfate, Microcrystalline Wax (Cera Microcristallina),Tromethamine, Zinc Sulfate.",4.5,40.0,124.98,124.98,Avène,0.0,"avene thermal spring water (avenewater), caprylic,capric triglyceride, mineral oil (paraffinumliquidum), glycerin, hydrogenated vegetable oil, zinc oxide, propylene glycol, polyglyceryl-2 sesquiisostearate, peg-22,dodecyl glycol copolymer, aluminum stearate, waterphilus dolomiae ferment filtrate, arginine, beeswax (ceraalba), copper sulfate, magnesium stearate, magnesium sulfate, microcrystalline wax (ceramicrocristallina),tromethamine, zinc sulfate."
Skin79 Cicapine,"regenerujący krem do twarzy, 50 ml",11,68.99,114.99,/skin79-regenerujacy-krem-do-twarzy-50-ml-000000000000384718.html,regenerujący,"Centella Asiatica Extract, Butylene Glycol, Glycerin, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Niacinamide, Coco-Caprylate/Caprate, Glyceryl Stearate, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Polyglyceryl-2 Stearate, Water, Arginine, Carbomer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Stearyl Alcohol, Panthenol, Glyceryl Caprylate, Allantoin, Betaine, Fragrance, Polyacrylate Crosspolymer-6, Melia Azadirachta Leaf Extract, Ethylhexylglycerin, Melia Azadirachta Flower Extract, Adenosine, Coccinia Indica Fruit Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Amber Powder, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric)Root Extract, Ocimum Sanctum Leaf Extract, Corallina Oficinalis Extract, Moringa Oleifera Seed Oil, Pinus Densiflora Leaf Extract, Pentylene Glycol, Madecassoside, Asiaticoside, Asiatic Acid, Madecassic Acid.",4.7,50.0,229.98,137.98,Skin79,40.00347856335334,"centella asiatica extract, butylene glycol, glycerin, 1,2 - hexanediol, caprylic,capric triglyceride, niacinamide, coco - caprylate,caprate, glyceryl stearate, phytosteryl,isostearyl,cetyl,stearyl,behenyl dimer dilinoleate, polyglyceryl-2 stearate, water, arginine, carbomer, ammonium acryloyldimethyltaurate,vp copolymer, stearyl alcohol, panthenol, glyceryl caprylate, allantoin, betaine, fragrance, polyacrylate crosspolymer-6, melia azadirachta leaf extract, ethylhexylglycerin, melia azadirachta flower extract, adenosine, coccinia indica fruit extract, glyceryl acrylate,acrylic acid copolymer, amber powder, solanum melongena (eggplant) fruit extract, curcuma longa (turmeric)root extract, ocimum sanctum leaf extract, corallina oficinalis extract, moringa oleifera seed oil, pinus densiflora leaf extract, pentylene glycol, madecassoside, asiaticoside, asiatic acid, madecassic acid."
Resibo,"lekka emulsja nawilżająco-łagodząca do twarzy, 50 ml",10,78.99,98.99,/resibo-lekka-emulsja-nawilzajaco-lagodzaca-do-twarzy-50-ml-000000000000386197.html,nawilżający,AQUA,4.8,50.0,197.98,157.98,Resibo,20.204061016264273,water
Tołpa Dermo Face Lipidro,"odżywczy krem-olejek regenerujący, bogaty, noc, 40 ml",53,43.99,43.99,/tolpa-krem-do-twarzy-40ml-000000000000286072.html,odżywczy,"Aqua, Glycerin, Butyrospermum Parkii Butter, Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Simmondsia Chinensis Seed Oil, Glyceryl Stearate Citrate, Cetearyl Alcohol, Peat Extract, Ceteareth-20, Hydroxyethyl Urea, Parfum, Mel Extract, Sodium Polyacrylate, Magnesium Aluminum Silicate, Carbomer, Tetrasodium EDTA, Sodium Hydroxide, Butylene Glycol, Urea, Sodium Lactate, Lysine HCI, Arginine HCI, Ornithine HCI, Methylpropanediol, Phenoxyethanol, Caprylyl Glycol, Benzoic Acid",4.8,40.0,109.98,109.98,Tołpa,0.0,"water, glycerin, butyrospermum parkii butter, caprylic,capric triglyceride, c12 - 15 alkyl benzoate, simmondsia chinensis seed oil, glyceryl stearate citrate, cetearyl alcohol, peat extract, ceteareth-20, hydroxyethyl urea, parfum, mel extract, sodium polyacrylate, magnesium aluminum silicate, carbomer, tetrasodium edta, sodium hydroxide, butylene glycol, urea, sodium lactate, lysine hci, arginine hci, ornithine hci, methylpropanediol, phenoxyethanol, caprylyl glycol, benzoic acid"
Australian Gold,"krem BB do twarzy light z SPF50, 89 ml",6,148.99,148.99,/australian-gold-krem-bb-do-twarzy-light-z-spf50-89-ml-000000000000414211.html,ochrona UV,"Cyclopentasiloxane, Water/Aqua/Eau, Glycerin, Titanium Dioxide (CI 77891), Zinc Oxide (CI 77947), Silica, Cetyl PEG/PPG-10/1 Dimethicone, Disteardimonium Hectorite, Polymethylsilsesquioxane, PEG-10 Dimethicone, Hexyl Laurate, Polyglyceryl-4 Isostearate, Eucalyptus Globulus (Eucalyptus) Leaf Extract, Porphyra Umbilicalis Extract, Dimethicone Crosspolymer, Stearic Acid, Caprylyl Glycol, Tocopheryl Acetate*, Butyrospermum Parkii (Shea) Butter, Panthenol, Squalane, Disodium EDTA, Triethoxycaprylylsilane, Alumina, Phenoxyethanol, Sodium Benzoate, Potassium Sorbate, Iron Oxides (CI 77492, CI 77491, CI 77499)
Australian Gold zawsze dba o dostęp do pełnych informacji o produkcie. Zapoznaj się z listą składników widniejącą na opakowaniu, aby uzyskać aktualne dane. Skład produktu może ulec zmianie w przyszłości.",4.8,89.0,167.4,167.4,Australian Gold,0.0,"cyclopentasiloxane, water,water,eau, glycerin, titanium dioxide (ci77891), zinc oxide (ci77947), silica, cetyl peg,ppg-10/1 dimethicone, disteardimonium hectorite, polymethylsilsesquioxane, peg-10 dimethicone, hexyl laurate, polyglyceryl-4 isostearate, eucalyptus globulus (eucalyptus) leaf extract, porphyra umbilicalis extract, dimethicone crosspolymer, stearic acid, caprylyl glycol, tocopheryl acetate *, butyrospermum parkii (shea) butter, panthenol, squalane, disodium edta, triethoxycaprylylsilane, alumina, phenoxyethanol, sodium benzoate, potassium sorbate, iron oxides ( ci 77492, ci 77491, ci 77499 ) 
 australian gold zawsze dba o dostęp do pełnych informacji o produkcie. zapoznaj się z listą składników widniejącą na opakowaniu, aby uzyskać aktualne dane. skład produktu może ulec zmianie w przyszłości."
Bandi Boost Care,"krem przeciwzmarszczkowy z kolagenem i elastyną, 50 ml",18,49.99,49.99,/bandi-krem-przeciwzmarszczkowy-z-kolagenem-i-elastyna-50-ml-000000000000301912.html,przeciwzmarszczkowy,"Aqua/Water, Ethylhexyl Stearate, Cetearyl Alcohol, C13-15 Alkane, Shea Butter Ethyl Esters, Butyrospermum Parkii (Shea) Butter, Glycerin, Propylene Glycol, Ceteareth-20, Hyaluronic Acid, Persea Gratissima (Avocado) Oil, Olea Europaea (Olive) Fruit Oil, Hydrolyzed Adansonia Digitata Seed Extract, Allantoin, Soluble Collagen, Hydrolyzed Elastin, Phytosterols, Silanetriol, Xanthan Gum, Triethanolamine, Carbomer, Butylene Glycol, Ascorbyl Palmitate, Tocopheryl Acetate, Sorbitan Oleate, Parfum/Fragrance, Benzyl Alcohol, Sorbic Acid, Citric Acid, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Ethylhexylglycerin, Methylparaben, Propylparaben, Alpha-Isomethyl Ionone, Coumarin, Linalool",4.3,50.0,99.98,99.98,Bandi,0.0,"water,water, ethylhexyl stearate, cetearyl alcohol, c13 - 15 alkane, shea butter ethyl esters, butyrospermum parkii (shea) butter, glycerin, propylene glycol, ceteareth-20, hyaluronic acid, persea gratissima (avocado) oil, olea europaea (olive) fruit oil, hydrolyze adansonia digitata seed extract, allantoin, soluble collagen, hydrolyzed elastin, phytosterol, silanetriol, xanthan gum, triethanolamine, carbomer, butylene glycol, ascorbyl palmitate, tocopheryl acetate, sorbitan oleate, parfum,fragrance, benzyl alcohol, sorbic acid, citric acid, potassium sorbate, sodium benzoate, phenoxyethanol, ethylhexylglycerin, methylparaben, propylparaben, alpha - isomethyl ionone, coumarin, linalool"
La Roche-Posay Anthelios,"niewidoczna mgiełka do twarzy z filtrem SPF50, 75 ml",55,84.99,84.99,/la-roche-posay-mgielka-do-twarzy-75ml-000000000000311374.html,ochrona UV,"884828 7_x000D_
BUTANE_x000D_
AQUA / WATER_x000D_
HOMOSALATE_x000D_
OCTOCRYLENE_x000D_
GLYCERIN_x000D_
DIMETHICONE_x000D_
ETHYLHEXYL SALICYLATE_x000D_
DICAPRYLYL CARBONATE_x000D_
NYLON-12_x000D_
DIISOPROPYL SEBACATE_x000D_
BUTYL METHOXYDIBENZOYLMETHANE_x000D_
STYRENE/ACRYLATES COPOLYMER_x000D_
p-ANISIC ACID_x000D_
CAPRYLYL GLYCOL_x000D_
CARNOSINE_x000D_
CYCLOHEXASILOXANE_x000D_
DISODIUM EDTA_x000D_
DROMETRIZOLE TRISILOXANE_x000D_
ETHYLHEXYL TRIAZONE_x000D_
METHYL METHACRYLATE CROSSPOLYMER_x000D_
PEG-32_x000D_
PEG-8 LAURATE_x000D_
PHENOXYETHANOL_x000D_
POLY C10-30 ALKYL ACRYLATE_x000D_
POLYGLYCERYL-6 POLYRICINOLEATE_x000D_
SODIUM CHLORIDE_x000D_
SODIUM HYALURONATE_x000D_
TOCOPHEROL_x000D_
PARFUM / FRAGRANCE",4.8,75.0,113.32,113.32,La Roche-Posay,0.0,"884828 7_x000d _ 
 butane_x000d _ 
 water,water_x000d _ 
 homosalate_x000d _ 
 octocrylene_x000d _ 
 glycerin_x000d _ 
 dimethicone_x000d _ 
 ethylhexyl salicylate_x000d _ 
 dicaprylyl carbonate_x000d _ 
 nylon-12_x000d _ 
 diisopropyl sebacate_x000d _ 
 butyl methoxydibenzoylmethane_x000d _ 
 styrene,acrylate copolymer_x000d _ 
 p - anisic acid_x000d _ 
 caprylyl glycol_x000d _ 
 carnosine_x000d _ 
 cyclohexasiloxane_x000d _ 
 disodium edta_x000d _ 
 drometrizole trisiloxane_x000d _ 
 ethylhexyl triazone_x000d _ 
 methyl methacrylate crosspolymer_x000d _ 
 peg-32_x000d _ 
 peg-8 laurate_x000d _ 
 phenoxyethanol_x000d _ 
 poly c10 - 30 alkyl acrylate_x000d _ 
 polyglyceryl-6 polyricinoleate_x000d _ 
 sodium chloride_x000d _ 
 sodium hyaluronate_x000d _ 
 tocopherol_x000d _ 
 parfum,fragrance"
Q+A Ceramides,"krem do twarzy na dzień, 50 g",8,64.99,64.99,/qa-krem-do-twarzy-na-dzien-50-g-000000000000434921.html,"Kojące,
Nawilżające,
Przeciwstarzeniowe,
Rozjaśniające,
Ujędrniające","Aqua (Water), Glycerin, Cetearyl Alcohol, Glyceryl Stearate, Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Ananas Sativus (Pineapple) Fruit Extract, Ceramide NP, Squalane, Carbomer, Simmondsia Chinensis (Jojoba) Seed Oil, Olive Glycerides, Sodium Stearoyl Glutamate, Coco-Glucoside, Benzyl Alcohol, Coconut Alcohol, Sodium Gluconate, Cyclodextrin, Dehydroacetic Acid, Sodium Hydroxide.",4.8,50.0,129.98,129.98,Q+A,0.0,"water (water), glycerin, cetearyl alcohol, glyceryl stearate, caprylic,capric triglyceride, helianthus annuus (sunflower) seed oil, vitis vinifera (grape) seed oil, ananas sativus (pineapple) fruit extract, ceramide np, squalane, carbomer, simmondsia chinensis (jojoba) seed oil, olive glyceride, sodium stearoyl glutamate, coco - glucoside, benzyl alcohol, coconut alcohol, sodium gluconate, cyclodextrin, dehydroacetic acid, sodium hydroxide."
Yoskine Royal Bee Japan Lift,"krem do twarzy 45+ na dzień i noc, 50 ml",5,83.99,83.99,/yoskine-krem-do-twarzy-odmladzajacy-mikrolifting-50ml-000000000000322779.html,Przeciwzmarszczkowe,"Aqua, Glycerin, Propanediol, Dimethicone, Cetearyl Ethylhexanoate, Dicaprylyl Ether, Sodium Acrylates Copolymer, Cichorium Intybus Root Oligosaccharides, Pentapeptide-48, Butyrospermum Parkii Butter, Hydrolyzed Candida Saitoana Extract, Fomes Officinalis Extract, Polysilicone-11, Aminobutyric Acid, Ascorbyl Tetraisopalmitate, Lecithin, Caesalpinia Spinosa Gum, Hydrogenated Lecithin, Decyl Glucoside, Butylene Glycol, Propylene Glycol, Phenethyl Alcohol, Ethylhexylglycerin, Maltodextrin, Chlorphenesin, Phenoxyethanol, Octadecyl Di-T-Butyl-4-Hydroxyhydrocinnamate, Coumarin, Citronellol, Alpha-Isomethyl Ionone, Limonene, Linalool, Parfum, CI 15985, CI 19140.",5.0,50.0,167.98,167.98,Yoskine,0.0,"water, glycerin, propanediol, dimethicone, cetearyl ethylhexanoate, dicaprylyl ether, sodium acrylates copolymer, cichorium intybus root oligosaccharides, pentapeptide-48, butyrospermum parkii butter, hydrolyzed candida saitoana extract, fomes officinalis extract, polysilicone-11, aminobutyric acid, ascorbyl tetraisopalmitate, lecithin, caesalpinia spinosa gum, hydrogenate lecithin, decyl glucoside, butylene glycol, propylene glycol, phenethyl alcohol, ethylhexylglycerin, maltodextrin, chlorphenesin, phenoxyethanol, octadecyl di - t - butyl-4 - hydroxyhydrocinnamate, coumarin, citronellol, alpha - isomethyl ionone, limonene, linalool, parfum, ci 15985, ci 19140."
Mixa,"nawilżający krem przeciw zaczerwienieniom do twarzy, 50 ml",6,23.99,29.99,/mixa-nawilzajacy-krem-przeciw-zaczerwienieniom-do-twarzy-50-ml-000000000000372434.html,nawilżający,"880105 1 - INGREDIENTS: AQUA / WATER • GLYCERIN • PETROLATUM • PARAFFINUM LIQUIDUM / MINERAL OIL • GLYCERYL STEARATE • CETYL ALCOHOL • PEG-40 STEARATE • CERA ALBA / BEESWAX • CETYL PALMITATE • DIMETHICONE • SORBITAN TRISTEARATE • PHENOXYETHANOL • CHLORHEXIDINE DIGLUCONATE • CITRIC ACID (F.I.L. B163038/1). Listy składników dla produktów naszej marki są regularnie aktualizowane. Zapoznaj się z listą składników na opakowaniu produktu, gdzie zawsze znajduje się najbardziej aktualna lista składników, aby upewnić się, że jest ona dla Ciebie odpowiednia.",3.7,50.0,59.98,47.98,Mixa,20.00666888962988,"880105 1 - ingredient: water,water,glycerin,petrolatum,paraffinum liquidum,mineral oil,glyceryl stearate,cetyl alcohol,peg-40 stearate,cera alba,beeswax,cetyl palmitate,dimethicone,sorbitan tristearate,phenoxyethanol,chlorhexidine digluconate,citric acid (f.i.l.b163038/1). listy składników dla produktów naszej marki są regularnie aktualizowane. zapoznaj się z listą składników na opakowaniu produktu, gdzie zawsze znajduje się najbardziej aktualna lista składników, aby upewnić się, że jest ona dla ciebie odpowiednia."
Revox Just Daily Sun Shield,"krem przeciwsłoneczny do twarzy SPF50, 30 ml",1190,24.49,34.99,/revox-krem-przeciwsloneczny-do-twarzy-spf50-30-ml-000000000000387034.html,ochrona UV,"Water / Aqua, Octocrylene, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Ethylhexyl Triazone, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Di-C12-13 Alkyl Malate, Diisopropyl Adipate, Mineral Oil / Paraffinum Liquidum, Glycerin, Cetearyl Alcohol, Glycol Cetearate, Glyceryl Stearate, Ceteareth-20, Ceteareth-12, Cetyl Palmitate, Sodium Hyaluronate, Phenoxyethanol, Allantoin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Fragrance / Parfum, Hexyl Cinnamal, Benzyl Salicylate, Limonene, Anise Alcohol.",4.6,30.0,116.63,81.63,Revox,30.00857387825094,"water,water, octocrylene, ethylhexyl methoxycinnamate, ethylhexyl salicylate, ethylhexyl triazone, diethylamino hydroxybenzoyl hexyl benzoate, di - c12 - 13 alkyl malate, diisopropyl adipate, mineral oil,paraffinum liquidum, glycerin, cetearyl alcohol, glycol cetearate, glyceryl stearate, ceteareth-20, ceteareth-12, cetyl palmitate, sodium hyaluronate, phenoxyethanol, allantoin, acrylates,c10 - 30 alkyl acrylate crosspolymer, triethanolamine, fragrance,parfum, hexyl cinnamal, benzyl salicylate, limonene, anise alcohol."
La Roche-Posay Redermic R,"intensywna przeciwzmarszczkowa kuracja pielęgnacyjna do twarzy, 30 ml",6,169.99,169.99,/la-roche-posay-intensywna-przeciwzmarszczkowa-kuracja-pielegnacyjna-do-twarzy-30-ml-000000000000359818.html,przeciwzmarszczkowy,AQUA /WATER • ISOSTEARYL NEOPENTANOATE • HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID • GLYCERIN • PROPYLENE GLYCOL • OCTYLDODECANOL • PENTYLENE GLYCOL • ACRYLAMIDE/SODIUM ACRYLOYLDIMETHYLTAURATE COPOLYMER • CETEARYL ALCOHOL • POLYSORBATE 20 • 4-T-BUTYLCYCLOHEXANOL • SORBITAN OLEATE • GLYCINE SOJA OIL / SOYBEAN OIL • ISOHEXADECANE • SODIUM HYALURONATE • SODIUM HYDROXIDE • RETINOL • ADENOSINE • DISODIUM EDTA • CAPRYLYL GLYCOL • ACETYL DIPEPTIDE-1 CETYL ESTER • TOLUENE SULFONIC ACID • POLYSORBATE 80 • RETINYL PALMITATE • TOCOPHEROL • PHENOXYETHANOL • PARFUM / FRAGRANCE,4.8,30.0,566.63,566.63,La Roche-Posay,0.0,"/,isostearyl neopentanoate,hydroxyethylpiperazine ethane sulfonic acid,glycerin,propylene glycol,octyldodecanol,pentylene glycol,acrylamide,sodium acryloyldimethyltaurate copolymer,cetearyl alcohol,polysorbate 20,4 - t - butylcyclohexanol,sorbitan oleate,glycine soja oil,soybean oil,isohexadecane,sodium hyaluronate,sodium hydroxide,retinol,adenosine,disodium edta,caprylyl glycol,acetyl dipeptide-1 cetyl ester,toluene sulfonic acid,polysorbate 80,retinyl palmitate,tocopherol,phenoxyethanol,parfum,fragrance"
Palmer's,"nawilżający mus z wody kokosowej do twarzy, 50 g",7,29.99,47.99,/palmers-nawilzajacy-mus-z-wody-kokosowej-do-twarzy-50-g-000000000000412499.html,nawilżający,"Water (Aqua), Cocos Nucifera (Coconut) Fruit Extract, Cocos Nucifera (Coconut) Oil, Lauryl Olivate, Sorbitan Olivate, Glycerin, Cocos Nucifera (Coconut) Water, Sodium Hyaluronate, Tocopherol, Lactobacillus/​Papaya Fruit Ferment Extract, Gardenia Tahitensis Flower Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Macadamia Ternifolia Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate, Leuconostoc/​Radish Root Ferment Filtrate, Ethylhexylglycerin, Tetrasodium EDTA, Sodium Hydroxide, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Sodium Metabisulfite, Sodium Sulfite, Fragrance (Parfum), Propylene Glycol, Phenoxyethanol, Coumarin.",4.6,50.0,95.98,59.98,Palmer's,37.50781412794333,"water (water), cocos nucifera (coconut) fruit extract, cocos nucifera (coconut) oil, lauryl olivate, sorbitan olivate, glycerin, cocos nucifera (coconut) water, sodium hyaluronate, tocopherol, lactobacillus/​papaya fruit ferment extract, gardenia tahitensis flower extract, oenothera biennis (eveningprimrose) flower extract, macadamia ternifolia seed oil, simmondsia chinensis (jojoba) seed oil, prunus amygdalus dulcis (sweetalmond) oil, persea gratissima (avocado) oil, tocopheryl acetate, leuconostoc/​radish root ferment filtrate, ethylhexylglycerin, tetrasodium edta, sodium hydroxide, acrylates/​c10 - 30 alkyl acrylate crosspolymer, sodium metabisulfite, sodium sulfite, fragrance (parfum), propylene glycol, phenoxyethanol, coumarin."
Nacomi Baby,"krem na każdą pogodę SPF50, 50 ml",8,19.59,31.99,/nacomi-krem-na-kazda-pogode-spf50-50-ml-000000000000385647.html,ochrona UV,"Ingredients/Składniki (INCI): Aqua, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Glycerin, Butyrospermum Parkii Butter, Cetearyl Alcohol, Cetyl Alcohol, Glyceryl Stearate, Shorea Stenoptera Seed Butter, Hydrogenated Farnesene, Olea Europaea Fruit Oil, Titanium Dioxide, Persea Gratissima Oil, Stearic Acid, Acrylates/C12-22 Alkyl Methacrylate Copolymer, Niacinamide, Hydrolyzed Rice Protein, Avena Sativa Kernel Extract, Citrus Aurantium Amara Flower Extract, Jasminum Officinale Flower Extract, Lavandula Angustifolia Flower Extract, Paeonia Officinalis Flower Extract, Prunus Serrulata Flower Extract, Sambucus Nigra Flower Extract, Glycine Soja Oil, Rosa Damascena Flower Oil, Helianthus Annuus Seed Oil, Phytosterols, Sodium Lauroyl Glutamate, Disodium Lauryl Sulfosuccinate, Coco-Glucoside, Tocopheryl Acetate, Ascorbyl Palmitate, Sorbitan Oleate, Arginine, Alumina, Parfum, Citric Acid, Dehydroacetic Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol.",3.4,50.0,63.98,39.18,Nacomi,38.76211316036261,"ingredient,składniki (inci): water, bis - ethylhexyloxyphenol methoxyphenyl triazine, glycerin, butyrospermum parkii butter, cetearyl alcohol, cetyl alcohol, glyceryl stearate, shorea stenoptera seed butter, hydrogenate farnesene, olea europaea fruit oil, titanium dioxide, persea gratissima oil, stearic acid, acrylates,c12 - 22 alkyl methacrylate copolymer, niacinamide, hydrolyzed rice protein, avena sativa kernel extract, citrus aurantium amara flower extract, jasminum officinale flower extract, lavandula angustifolia flower extract, paeonia officinalis flower extract, prunus serrulata flower extract, sambucus nigra flower extract, glycine soja oil, rosa damascena flower oil, helianthus annuus seed oil, phytosterol, sodium lauroyl glutamate, disodium lauryl sulfosuccinate, coco - glucoside, tocopheryl acetate, ascorbyl palmitate, sorbitan oleate, arginine, alumina, parfum, citric acid, dehydroacetic acid, sodium benzoate, potassium sorbate, benzyl alcohol."
Tołpa Dermo Men Anti Age,"krem przeciw oznakom starzenia, lekki, 40 ml",10,22.99,38.99,/tolpa-krem-przeciwzmarszczkowy-do-twarzy-dla-mezczyzn-40-40ml-000000000000268094.html,"Przeciwstarzeniowe,
Przeciwzmarszczkowe","Aqua, Coco-Caprylate, Isostearyl Lactate, Sodium Hyaluronate, Cetearyl Alcohol, Peat Extract, C12-15 Alkyl Benzoate, Propylene Glycol, Parfum, Aluminum Starch Octenylsuccinate, Ceteareth-20, Glyceryl Stearate SE, Triticum Vulgare Germ Extract, Saccharomyces Cerevisiae Extract, Argania Spinosa Kernel Extract, Gossypium Herbaceum Seed Extract, Panthenol, Magnesium Aluminum Silicate, Disodium Cocoamphodiacetate, PVP, Sodium Metabisulfite, Pantolactone, Sodium Cocoyl Glutamate, Carbomer, Acacia Senegal Gum, Xanthan Gum, Sodium Polyacrylate, Sodium Hydroxide, Disodium EDTA, Glycerin, Benzyl Alcohol, Salicylic Acid, Sorbic Acid.",4.5,40.0,97.48,57.48,Tołpa,41.036163118748405,"water, coco - caprylate, isostearyl lactate, sodium hyaluronate, cetearyl alcohol, peat extract, c12 - 15 alkyl benzoate, propylene glycol, parfum, aluminum starch octenylsuccinate, ceteareth-20, glyceryl stearate se, triticum vulgare germ extract, saccharomyce cerevisiae extract, argania spinosa kernel extract, gossypium herbaceum seed extract, panthenol, magnesium aluminum silicate, disodium cocoamphodiacetate, pvp, sodium metabisulfite, pantolactone, sodium cocoyl glutamate, carbomer, acacia senegal gum, xanthan gum, sodium polyacrylate, sodium hydroxide, disodium edta, glycerin, benzyl alcohol, salicylic acid, sorbic acid."
Bielenda Good Skin Hydra Boost,"nawilżający krem do twarzy, 50 ml",53,22.19,36.99,/bielenda-nawilzajacy-krem-do-twarzy-50-ml-000000000000387066.html,nawilżający,"Aqua (Water),Ethylhexyl Stearate,Trehalose,Theobroma Cacao (Cocoa) Seed,Butter,Glycerin,Glyceryl Stearate,Cetearyl Alcohol,C10-18 Triglycerides,Tocopheryl Acetate,Sodium Hyaluronate,Copper Tripeptide-1,Sodium Stearoyl Glutamate,Potassium Cetyl Phosphate,Ethylhexylglycerin,Phenoxyethanol,Parfum (Fragrance),Hexyl Cinnamal,Limonene,Linalool",4.6,50.0,73.98,44.38,Bielenda,40.010813733441466,"water (water),ethylhexyl stearate, trehalose, theobroma cacao (cocoa) seed, butter, glycerin, glyceryl stearate, cetearyl alcohol, c10 - 18 triglycerides, tocopheryl acetate, sodium hyaluronate, copper tripeptide-1,sodium stearoyl glutamate, potassium cetyl phosphate, ethylhexylglycerin, phenoxyethanol, parfum (fragrance),hexyl cinnamal, limonene, linalool"
Nivea Men Fresh Gel,"krem-żel do twarzy męski, 150 ml",21,24.99,33.99,/nivea-krem-zel-do-twarzy-meski-150-ml-000000000000380934.html,Nawilżające,"Aqua, Alcohol Denat., Glycerin, PEG-8, Menthol, Mentha Aquatica Extract, Distarch Phosphate, Carbomer, PEG-40 Hydrogenated Castor Oil, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Hydroxide, Sodium Sulfate, Phenoxyethanol, Linalool, Limonene, Citronellol, Alpha-Isomethyl Ionone, Parfum, CI 42090",4.3,150.0,22.66,16.66,Nivea,26.478375992939107,"water, alcohol denat., glycerin, peg-8, menthol, mentha watertica extract, distarch phosphate, carbomer, peg-40 hydrogenated castor oil, acrylates,c10 - 30 alkyl acrylate crosspolymer, sodium hydroxide, sodium sulfate, phenoxyethanol, linalool, limonene, citronellol, alpha - isomethyl ionone, parfum, ci 42090"
Miya Cosmetics MyWonderBalm,"odżywczy krem do twarzy z olejkiem z róży, 75 ml",221,32.99,32.99,/miya-cosmetics-odzywczy-krem-do-twarzy-z-olejkiem-z-rozy-75ml-000000000000294706.html,odżywczy,"Aqua*,Sesamum Indicum Seed Oil*,Decyl Oleate*,Glycerin*,Cetearyl Alcohol*,Macadamia Ternifolia Seed Oil*,Glycine Soja Oil*,Stearic Acid*,Rosa Canina Fruit Oil*,Sodium Polyacrylate,Glycine Soja Oil Unsaponifiables*,Helianthus Annuus Seed Oil*,Plankton Extract,Ascophyllum Nodosum Extract*,Fucus Vesiculosus Extract*,Crithmum Maritimum Extract*,Laminaria Hyperborea Extract*,Laminaria Digitata Extract*,Tocopheryl Acetate,Tocopherol*,Hydrogenated Palm Glycerides Citrate*,Palmitic Acid*,Ascorbyl Palmitate,Xanthan Gum*,Phenoxyethanol,Ethylhexylglycerin,Triethanolamine,Sodium Phytate*,Alcohol*,Parfum,Citronellol,Geraniol,*składnik pochodzenia naturalnego",4.200000000000001,75.0,43.99,43.99,Miya Cosmetics,0.0,"water*,sesamum indicum seed oil*,decyl oleate*,glycerin*,cetearyl alcohol*,macadamia ternifolia seed oil*,glycine soja oil*,stearic acid*,rosa canina fruit oil*,sodium polyacrylate, glycine soja oil unsaponifiables*,helianthus annuus seed oil*,plankton extract, ascophyllum nodosum extract*,fucus vesiculosus extract*,crithmum maritimum extract*,laminaria hyperborea extract*,laminaria digitata extract*,tocopheryl acetate, tocopherol*,hydrogenate palm glycerides citrate*,palmitic acid*,ascorbyl palmitate, xanthan gum*,phenoxyethanol, ethylhexylglycerin, triethanolamine, sodium phytate*,alcohol*,parfum, citronellol, geraniol,*składnik pochodzenia naturalnego"
